Bil.,No. Daftar,No. Lesen,Nama Pemegang Lesen,Nama Premis,Alamat Premis,Tarikh Lesen Dikeluarkan,Tarikh Kuatkuasa Lesen,Tarikh Luput Lesen,Tarikh Pembatalan lesen,Jenis Perniagaan
202,PA0202/2021,23288,OI SIEW LEIN,DYNAPHARM (M) SDN BHD,"2497, MK 1,Lorong Perusahaan Baru 5, Kawasan Perusahaan Perai 3,13600,Perai,Seberang Perai Tengah,Pulau Pinang",10/11/2020,1/1/2021,31/12/2021,,Borong
203,PA0203/2021,23289,SOO YUE YIN,BAGAN SPECIALIST CENTRE SDN. BHD.,"N/A,Jalan Bagan 1,13400,Butterworth,Seberang Perai Utara,Pulau Pinang",10/11/2020,1/1/2021,31/12/2021,,Runcit
204,PA0204/2021,23290,GOH YI WEN,The Pill House Pharmacy Sdn Bhd [Georgetown Pharmacy],"306-D-1,Jalan Dato Ismail Hashim,11900,Sungai Ara,Barat Daya,Pulau Pinang",10/11/2020,1/1/2021,31/12/2021,,Runcit
205,PA0205/2021,23293,YEAP HWAI LIANG,FARMASI CITY CARE SDN. BHD. [FARMASI MEDIPRO],"NO. 7,9,11-G,Lorong Usahaniaga 4, Taman Usahaniaga,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang",13/11/2020,1/1/2021,31/12/2021,,Borong & Runcit
206,PA0206/2021,23294,LEE KENG KHEAN,MACALLUM PHARMACY SDN BHD [FARMASI MACALLUM PHARMACY SDN BHD],"8-G-4S, KOMPLEKS PULAU MUTIARA,Gat Lebuh Macallum,10300,Georgetown,Timur Laut,Pulau Pinang",13/11/2020,1/1/2021,31/12/2021,,Runcit
207,PA0207/2021,23295,LIM KELVIN,The Pill House Pharmacy Sdn Bhd [Georgetown Pharmacy],"306-D-1,Jalan Dato Ismail Hashim,11900,Sungai Ara,Barat Daya,Pulau Pinang",13/11/2020,1/1/2021,31/12/2021,,Runcit
208,PA0208/2021,23296,WONG CHENG YEE,Well Chemist & Healthcare [Well Chemist & Healthcare],"6479, 1st Floor,Jalan Raja Uda,12300,Butterworth,Seberang Perai Utara,Pulau Pinang",13/11/2020,1/1/2021,31/12/2021,,Borong
209,PA0209/2021,23297,LEE KAI WEI,Mega Kulim Pharmacy Sdn Bhd [Mega Kulim Farmasi],"3332 & 3333,Jalan Perniagaan, Pusat Perniagaan Alma,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang",13/11/2020,1/1/2021,31/12/2021,,Runcit
210,PA0210/2021,23298,LEE CHIA LING,GR2 Pharmacy Sdn Bhd [Gold River Pharmacy],"9,Lorong Sungai Emas,11100,Batu Ferringhi,Timur Laut,Pulau Pinang",13/11/2020,1/1/2021,31/12/2021,,Runcit
211,PA0211/2021,23299,NGIENG HSERN CHUI,Watson's Personal Care Stores Sdn. Bhd,"182-3-16 & 17 (Tingkat 3) 1st Avenue,Jalan Magazine,10300,Georgetown,Timur Laut,Pulau Pinang",13/11/2020,1/1/2021,31/12/2021,,Runcit
212,PA0212/2021,23300,TANG MIN WAI,H & H PHARMACY [HH PHARMACY],"NO. 29,Jalan Bukit Minyak 2, Taman Bukit Minyak,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang",13/11/2020,1/1/2021,31/12/2021,,Runcit
213,PA0213/2021,23301,TEU SIEW LIAN,NATURE-CARE PHARMACY SDN BHD [FARMASI MCARE],"19,Lorong Mahsuri 7,11950,Bayan Lepas,Barat Daya,Pulau Pinang",13/11/2020,1/1/2021,31/12/2021,,Runcit
214,PA0214/2021,23302,LAM YEE CHERN,Adventist Hospital & Clinic Services (M) [Penang Adventist Hospital],"465,Jalan Burma,10350,Georgetown,Timur Laut,Pulau Pinang",13/11/2020,1/1/2021,31/12/2021,,Runcit
215,PA0215/2021,23303,NICHOLAS TAY JIUN YAO,FARMASI CITY CARE SDN BHD,"no.60,Jalan Lembah Permai 4,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang",13/11/2020,1/1/2021,31/12/2021,,Runcit
216,PA0216/2021,23304,IRENE GOH,Nutri Pharmax Sdn Bhd,"6,Lorong Serunai 1, Valdor Sungai Bakap,14200,Sungai Jawi,Seberang Perai Selatan,Pulau Pinang",13/11/2020,1/1/2021,31/12/2021,,Borong
217,PA0217/2021,23305,WONG MEI FONG,FARMASI SRI NIBONG SDN BHD [GEORGETOWN PHARMACY],"52,Jalan Mahsuri,11950,Bayan Baru,Barat Daya,Pulau Pinang",13/11/2020,1/1/2021,31/12/2021,9/4/2021,Runcit
218,PA0218/2021,23306,MUHAMMAD SYAKIR BIN SAPARMAN,WELLINGS PHARMACY SDN BHD [WELLINGS PHARMACY],"294,Jalan Macalister,10450,Georgetown,Timur Laut,Pulau Pinang",17/11/2020,1/1/2021,31/12/2021,15/03/2021,Runcit
219,PA0219/2021,23307,SHARON WONG KAI XIAN,FARMASI SRI NIBONG SDN BHD [GEORGETOWN PHARMACY],"52,Jalan Mahsuri,11950,Bayan Baru,Barat Daya,Pulau Pinang",17/11/2020,1/1/2021,31/12/2021,29/01/2021,Runcit
220,PA0220/2021,23310,SOON EAN PENG,Watson's Personal Care Stores Sdn Bhd,"100-LG-12A,Queensbay Mall, Persiaran Bayan Indah,11900,Bayan Lepas,Barat Daya,Pulau Pinang",17/11/2020,1/1/2021,31/12/2021,,Runcit
221,PA0221/2021,23311,GOH YEW LEE,City Healthcare Pharmacy (Air Itam) Sdn Bhd [City Healthcare Pharmacy],"606-A,Jalan Paya Terubong,11500,Air Itam,Timur Laut,Pulau Pinang",19/11/2020,1/1/2021,31/12/2021,,Runcit
222,PA0222/2021,23312,SAW JIA YING,Farmasi Bukit Panchor Sdn Bhd,"132,Lorong Bukit Panchor 1, Taman Bukit Panchor,14300,Nibong Tebal,Seberang Perai Selatan,Pulau Pinang",19/11/2020,1/1/2021,31/12/2021,,Runcit
223,PA0223/2021,23313,NG KEAN AUN,Mega Kulim Pharmacy Sdn Bhd [Mega Kulim Pharmacy],"16,Lebuh Kurau 3, Taman Chai Leng,13700,Perai,Seberang Perai Tengah,Pulau Pinang",19/11/2020,1/1/2021,31/12/2021,23/04/2021,Runcit
224,PA0224/2021,23314,KHOR SHER LEEN,GUARDIAN HEALTH AND BEAUTY [GUARDIAN PHARMACY],"78-G-10 & 78-G-11,Jalan Tengah, Giant Hypermarket Bayan Baru,11900,Bayan Lepas,Barat Daya,Pulau Pinang",19/11/2020,1/1/2021,31/12/2021,,Runcit
225,PA0225/2021,23315,TEE FOONG PENG,Farmasi Harmoni [FARMASI HARMONI],"62,Lorong Perda Utama 1, Bandar Perda,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang",19/11/2020,1/1/2021,31/12/2021,,Runcit
226,PA0226/2021,23316,LEONG KIN PENG,City Healthcare Pharmacy (Farlim) Sdn. Bhd. [City Healthcare Pharmacy],"No. 32A,Lintang Angsana,11500,Farlim,Timur Laut,Pulau Pinang",19/11/2020,1/1/2021,31/12/2021,,Runcit
227,PA0227/2021,23317,MONICCA A/P THOMAS,AFDZAL CONSULTANCY SDN BHD [FARMASI DOC'S STATION],"34A,Lorong Bertam Indah 12, Taman Bertam Indah,13200,Kepala Batas,Seberang Perai Utara,Pulau Pinang",19/11/2020,1/1/2021,31/12/2021,,Borong & Runcit
228,PA0228/2021,23318,LO WEI TING,MEDS AND VITS PHARMACY [M&V PHARMACY],"G-10, TINGKAT BAWAH, PANGSAPURI OREN 3,Jalan Pantai Bersih,13000,Butterworth,Seberang Perai Utara,Pulau Pinang",19/11/2020,1/1/2021,31/12/2021,28/04/2021,Runcit
229,PA0229/2021,23319,SOO SUET LING,MEDS AND VITS PHARMACY [M&V PHARMACY],"G-10, TINGKAT BAWAH, PANGSAPURI OREN 3,Jalan Pantai Bersih,13000,Butterworth,Seberang Perai Utara,Pulau Pinang",19/11/2020,1/1/2021,31/12/2021,8/3/2021,Runcit
230,PA0230/2021,23320,LEE CHEE BENG,NATURAL HEALTHY LIVING SDN BHD [NATURAL HEALTHY LIVING FARMASI],"B-G-36, Ground Floor,One Stop Complex, Midlands Park, Jalan Burmah,10350,Georgetown,Timur Laut,Pulau Pinang",19/11/2020,1/1/2021,31/12/2021,,Runcit
231,PA0231/2021,23321,NAZURATUNNADIAH BINTI ALIAS,Farmasi Asnaf,"2635,Jalan Hashim Awang,13300,Tasek Gelugor,Seberang Perai Utara,Pulau Pinang",19/11/2020,1/1/2021,31/12/2021,,Runcit
232,PA0232/2021,23322,TEOH CHIA SEN,WELLINGS PHARMACY SDN BHD [WELLINGS PHARMACY],"294,Jalan Macalister,10450,Georgetown,Timur Laut,Pulau Pinang",19/11/2020,1/1/2021,31/12/2021,,Runcit
233,PA0233/2021,23323,TAN JIA JIN,The Pill House Pharmacy Sdn Bhd [Georgetown Pharmacy],"336F-G,Jalan Perak,11600,Georgetown,Timur Laut,Pulau Pinang",19/11/2020,1/1/2021,31/12/2021,,Runcit
234,PA0234/2021,23324,LIM CHIA CHUANG,FARMASI ANG & ANG [FARMASI ANG & ANG],"25,Jalan Kendi, Taman Merak Jaya,14100,Simpang Ampat,Seberang Perai Selatan,Pulau Pinang",19/11/2020,1/1/2021,31/12/2021,,Runcit
235,PA0235/2021,23325,KOAY WAN LEE,CITY WELLNESS PHARMACY SDN BHD [CITY WELLNESS PHARMACY],"1-G, GROUND FLOOR,Lorong Delima 5, Island Glades,11700,Island Glades,Timur Laut,Pulau Pinang",19/11/2020,1/1/2021,31/12/2021,,Runcit
236,PA0236/2021,23326,OH HUI SHIAN,FARMASI MY-CHEMIST (R.UDA) SDN. BHD. [FARMASI MY-CHEMIST],"21,Tingkat Mawar, Jalan Raja Uda,12300,Butterworth,Seberang Perai Utara,Pulau Pinang",19/11/2020,1/1/2021,31/12/2021,,Runcit
237,PA0237/2021,23327,ANGELINE NGU WEI YAN,Blooming Health Pharmacy Sdn Bhd [Georgetown Pharmacy],"62-1 and 62A-1 Farlim Square,Jalan Pisang Berangan,11500,Air Itam,Timur Laut,Pulau Pinang",19/11/2020,1/1/2021,31/12/2021,,Runcit
238,PA0238/2021,23328,TAN SHU HWA,G&T Pharma Sdn Bhd [Farmasi Mercury],"9,Jalan Todak 6, Pusat Komersial Sunway Perdana,13700,Perai,Seberang Perai Tengah,Pulau Pinang",19/11/2020,1/1/2021,31/12/2021,,Runcit
239,PA0239/2021,23329,NG LEE CHIN,FARMASI MY-CHEMIST(B.M) SDN BHD [FARMASI MY-CHEMIST],"NO 8,Tingkat Bukit Minyak 9, Taman Bukit Minyak,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang",19/11/2020,1/1/2021,31/12/2021,,Runcit
240,PA0240/2021,23330,YEAP BEE LENG,ALPRO ALLIANCE (PENANG) SDN BHD [FARMASI ALPRO],"NO.37,Jalan Todak 6, Pusat Komersial Sunway Perdana,13700,Perai,Seberang Perai Tengah,Pulau Pinang",19/11/2020,1/1/2021,31/12/2021,,Runcit
241,PA0241/2021,23331,ELAINE TAN HUI CHUEN,The Pill House Pharmacy Sdn. Bhd. [Georgetown Pharmacy],"336F-G,Jalan Perak,10150,Georgetown,Timur Laut,Pulau Pinang",19/11/2020,1/1/2021,31/12/2021,,Runcit
242,PA0242/2021,23332,HAZIRAH BINTI ISHAK,FARMASI HARMONI SHIFA SDN BHD [FARMASI HARMONI SHIFA],"30-TKT G,Jalan Oren Hartamas, Taman Oren Hartamas,14400,Kubang Semang,Seberang Perai Tengah,Pulau Pinang",19/11/2020,1/1/2021,31/12/2021,,Runcit
243,PA0243/2021,23333,HEAH CHEW TENG @ HEAH KIM TEIK,Thye Pharma Sdn Bhd,"No. 2,Lorong Industri Ringan Permatang Tinggi 8, Kawasan Industri Ringan Permatang Tinggi,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang",19/11/2020,1/1/2021,31/12/2021,,Borong & Runcit
244,PA0244/2021,23334,LIM GAUK KHENG,RHECO PHARMACY SDN BHD [FARMASI RHECO SDN. BHD.],"606 E,Jalan Paya Terubong,11500,Air Itam,Timur Laut,Pulau Pinang",25/11/2020,1/1/2021,31/12/2021,23/07/2021,Borong & Runcit
245,PA0245/2021,23335,OH HUI CHUIN,MEYONG FARM,"11,Jalan Ong Yi How,13400,Butterworth,Seberang Perai Tengah,Pulau Pinang",25/11/2020,1/1/2021,31/12/2021,,Borong
246,PA0246/2021,23336,MOHAMMAD ROSDI BIN OMAR,Remedi Pharmacy,"17,Jalan Sungai Jawi, Taman Sungai Jawi,14200,Sungai Jawi,Seberang Perai Selatan,Pulau Pinang",25/11/2020,1/1/2021,31/12/2021,,Runcit
247,PA0247/2021,23337,ALAN MARTIN LEWIS,PRIME PHARMACEUTICAL SDN BHD,"1505,Lorong Perusahaan Utama 1, Kawasan Perindustrian Bukit Tengah,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang",25/11/2020,1/1/2021,31/12/2021,,Borong
248,PA0248/2021,23338,IRDA HASLINDA BINTI HASSAN,GUARDIAN HEALTH AND BEAUTY SDN BHD [GUARDIAN PHARMACY],"1820-G1,Jalan Perusahaan, Auto City, North-south Highway, Juru Interchange,13600,Perai,Seberang Perai Tengah,Pulau Pinang",25/11/2020,1/1/2021,31/12/2021,,Runcit
249,PA0249/2021,23339,TUNG KEAN SENG,THE PILL HOUSE PHARMACY SDN. BHD. [GEORGETOWN PHARMACY],"598-GF-08, MENARA ASAS,Jalan Tanjung Bungah,11200,Tanjong Bungah,Timur Laut,Pulau Pinang",25/11/2020,1/1/2021,31/12/2021,,Runcit
250,PA0250/2021,23340,BRENDA HO,THE PILL HOUSE PHARMACY SDN. BHD. [GEORGETOWN PHARMACY],"598-GF-08, MENARA ASAS,Jalan Tanjung Bungah,11200,Tanjong Bungah,Timur Laut,Pulau Pinang",25/11/2020,1/1/2021,31/12/2021,,Runcit
251,PA0251/2021,23341,NG AIK HAN,Desmaju Sdn. Bhd.,"74,Jalan Perniagaan, Pusat Perniagaan Alma,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang",25/11/2020,1/1/2021,31/12/2021,,Borong & Runcit
252,PA0252/2021,23342,TENG WEI SHENG,GUARDIAN HEALTH AND BEAUTY [GUARDIAN PHARMACY],"78-G-10 & 78-G-11,Jalan Tengah, Giant Hypermarket Bayan Baru,11900,Bayan Lepas,Barat Daya,Pulau Pinang",25/11/2020,1/1/2021,31/12/2021,,Runcit
253,PA0253/2021,23343,KHIRI AZAMAN BIN KHALID,EXCELCARE CHEMIST [EXCELCARE CHEMIST],"3,Lorong Machang 1, Taman Pengkalan Machang,13800,Butterworth,Seberang Perai Utara,Pulau Pinang",25/11/2020,1/1/2021,31/12/2021,,Runcit
254,PA0254/2021,23344,RUKUMANI A/P CHANDIRAN,EURO-CHEMO PHARMA SDN.BHD [EURO CHEMO PHARMA SDN.BHD],"2408,Lorong Perusahaan 1, Prai Industrial Estate,13600,Perai,Seberang Perai Tengah,Pulau Pinang",25/11/2020,1/1/2021,31/12/2021,,Borong
255,PA0255/2021,23345,TEE CHIN NEE,Island Hospital Sdn Bhd [Island Hospital],"308,Jalan Macalister,10450,Georgetown,Timur Laut,Pulau Pinang",25/11/2020,1/1/2021,31/12/2021,,Runcit
256,PA0256/2021,23346,LEONG KAR HING,Island Hospital Sdn Bhd [Island Hospital],"308,Jalan Macalister,10450,Georgetown,Timur Laut,Pulau Pinang",25/11/2020,1/1/2021,31/12/2021,,Runcit
257,PA0257/2021,23347,JOYCEE OOI LI YING,Mount Miriam Cancer Hospital,"23,Jalan Bulan, Fettes Park,11200,Tanjong Bungah,Timur Laut,Pulau Pinang",25/11/2020,1/1/2021,31/12/2021,,Runcit
258,PA0258/2021,23349,NORLIANI BINTI ZULKIFLI,Golver Health Enterprise [U.n.i Farmasi],"LOT 3-8,Rumah Kedai Jalan Desa Kuala Muda, Taman Desa Kuala Muda,13100,Penaga,Seberang Perai Utara,Pulau Pinang",1/12/2020,1/1/2021,31/12/2021,11/6/2021,Runcit
259,PA0259/2021,23350,VARUNEE SARARAKS,Island Hospital Sdn Bhd [Island Hospital],"308,Jalan Macalister,10450,Georgetown,Timur Laut,Pulau Pinang",1/12/2020,1/1/2021,31/12/2021,,Runcit
260,PA0260/2021,23351,SIVA MALAR A/P GANASEN,Loh Guan Lye and Sons Sdn Bhd [Loh Guan Lye Specialists Centre],"19 & 21,Jalan Logan,10400,Georgetown,Timur Laut,Pulau Pinang",1/12/2020,1/1/2021,31/12/2021,,Runcit
261,PA0261/2021,23352,ONG HEAN KOOI,LIANGTRACO & SONS SDN BHD [LIANGTRACO SDN BHD],"22,Jalan Pintal Tali,10100,Georgetown,Timur Laut,Pulau Pinang",1/12/2020,1/1/2021,31/12/2021,,Borong
262,PA0262/2021,23353,ONG IT SEANG,NUTRICIENT RX SDN BHD [GEORGETOWN PHARMACY ],"1,Jalan Ong Yi How,13400,Butterworth,Seberang Perai Utara,Pulau Pinang",1/12/2020,1/1/2021,31/12/2021,,Runcit
263,PA0263/2021,23354,LIM SIN WEI,Loh Guan Lye and Sons Sdn Bhd [Loh Guan Lye Specialists Centre],"19 & 21,Jalan Logan,10400,Georgetown,Timur Laut,Pulau Pinang",1/12/2020,1/1/2021,31/12/2021,,Runcit
264,PA0264/2021,23355,CHEAH SIANG CHIA,ENHANCE PHARMACY SDN BHD,"7,Lorong Seri Impian 2, Taman Seri Impian,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang",1/12/2020,1/1/2021,31/12/2021,,Runcit
265,PA0265/2021,23356,SAEDAH BINTI HAJI ZAKARIA,Farmasi Asnaf,"2635,Jalan Hashim Awang,13300,Tasek Gelugor,Seberang Perai Utara,Pulau Pinang",1/12/2020,1/1/2021,31/12/2021,,Runcit
266,PA0266/2021,23357,KEH CHUI LAY@KEH CHUI LAYE,LOH GUAN LYE & SONS SDN BHD [LOH GUAN LYE SPECIALIST CENTRE],"238,Jalan Macalister,10400,Georgetown,Timur Laut,Pulau Pinang",1/12/2020,1/1/2021,31/12/2021,,Runcit
267,PA0267/2021,23358,LAU OOI LENG,Chaileng Park Pharmacy S/B,"35,Medan Kurau 1, Taman Chai Leng,13700,Perai,Seberang Perai Tengah,Pulau Pinang",1/12/2020,1/1/2021,31/12/2021,,Runcit
268,PA0268/2021,23359,TEH GEO MIN,FARMASI KOTA PERMAI SDN. BHD. [FARMASI KOTA PERMAI],"48,Lorong Kota Permai 11, Taman Kota Permai,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang",1/12/2020,1/1/2021,31/12/2021,,Runcit
269,PA0269/2021,23363,KHOR KOOI PENG,GR2 PHARMACY SDN BHD [GREEN RIVER PHARMACY],"43-1,Lintang Batu Maung,11960,Batu Maung,Barat Daya,Pulau Pinang",1/12/2020,1/1/2021,31/12/2021,,Runcit
270,PA0270/2021,23361,KHAW KAR JUN,Island Hospital Sdn Bhd [Island Hospital],"308,Jalan Macalister,10450,Georgetown,Timur Laut,Pulau Pinang",1/12/2020,1/1/2021,31/12/2021,,Runcit
271,PA0271/2021,23362,LIM SOO PENG,Yeam Heng Trading Co. [Syarikat Perniagaan Yeam Heng],"1770,Jalan Kulim,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang",1/12/2020,1/1/2021,31/12/2021,,Borong & Runcit
272,PA0272/2021,23364,MASYITHAH BINTI AHMAD ZAIDI,NADI CARE ADVANCE PHARMACY [FARMASI NADI CARE ADVANCE],"1306,Jalan Besar, Taman Rasaria,14200,Sungai Bakap,Seberang Perai Selatan,Pulau Pinang",3/12/2020,1/1/2021,31/12/2021,,Runcit
273,PA0273/2021,23365,ELIZA SURYATI BINTI SALLEH,FARMASI ERA ZAMAN SDN BHD [FARMASI ERA ZAMAN SDN BHD],"1199,Pekan Penaga,13100,Penaga,Seberang Perai Utara,Pulau Pinang",3/12/2020,1/1/2021,31/12/2021,,Runcit
274,PA0274/2021,23366,OOI YONG JING,HJE HEALTHCARE [HJE HEALTHCARE],"77-1-39 PENANG TIMES SQUARE,Jalan Dato Keramat,10150,Georgetown,Timur Laut,Pulau Pinang",3/12/2020,1/1/2021,31/12/2021,,Borong
275,PA0275/2021,23367,YAP MUI KEOK,Wellings Pill House Sdn Bhd [Georgetown Pharmacy],"31,Jalan Utama,10460,Georgetown,Timur Laut,Pulau Pinang",3/12/2020,1/1/2021,31/12/2021,9/7/2021,Runcit
276,PA0276/2021,23368,LIM KAH KIAT,SIMPLE LIFE PHARMACY SDN BHD [GEORGETOWN PHARMACY],"132-GF & 134-GF,Jalan Macalister,10400,Georgetown,Timur Laut,Pulau Pinang",3/12/2020,1/1/2021,31/12/2021,,Runcit
277,PA0277/2021,23369,CH'NG KIM HOOI,Wellings Pill House Sdn Bhd [Georgetown Pharmacy],"31,Jalan Utama,10460,Georgetown,Timur Laut,Pulau Pinang",3/12/2020,1/1/2021,31/12/2021,,Runcit
278,PA0278/2021,23370,KWEH BEE HAR,Watson's Personal Care Stores Sdn Bhd,"170-B1-19,Gurney Plaza, Persiaran Gurney,10250,Georgetown,Timur Laut,Pulau Pinang",3/12/2020,1/1/2021,31/12/2021,,Runcit
279,PA0279/2021,23371,HIEW KIM SAN @ KENNETH HIEW,Farmasi Paya Terubong Sdn. Bhd. [Farmasi Paya Terubong Sdn. Bhd.],"22-L, Mukim 14,Jalan Paya Terubong,11060,Air Itam,Timur Laut,Pulau Pinang",3/12/2020,1/1/2021,31/12/2021,,Runcit
280,PA0280/2021,23372,ABDUL RAHMAN BIN ABDUL RAZAK,TERAPUTICS SDN BHD [TERAPUTICS SDN BHD],"LOT 10 & 11,Perda Industrial Park, Lorong IKS Simpang Ampat B,14100,Simpang Ampat,Seberang Perai Selatan,Pulau Pinang",3/12/2020,1/1/2021,31/12/2021,,Borong
281,PA0281/2021,23373,AE SAW THING,Pure Pharmacy Sdn Bhd [Pure Pharmacy Sdn Bhd],"1,Jalan Mayang Pasir, Sunshine Square Bayan Baru Supermarket,11950,Bayan Baru,Barat Daya,Pulau Pinang",3/12/2020,1/1/2021,31/12/2021,,Runcit
282,PA0282/2021,23374,TAN SHI ZU,Loh Guan Lye and Sons Sdn Bhd [Loh Guan Lye Specialists Centre],"19 & 21,Jalan Logan,10400,Georgetown,Timur Laut,Pulau Pinang",3/12/2020,1/1/2021,31/12/2021,,Runcit
283,PA0283/2021,23375,NG YUN MEI,AEON Co. (M) Bhd [AEON Wellness Pharmacy],"LG 85,Queensbay Mall, Persiaran Bayan Indah,11900,Bayan Lepas,Barat Daya,Pulau Pinang",3/12/2020,1/1/2021,31/12/2021,,Runcit
284,PA0284/2021,23376,TEOH PAIK LOON,DY Healthcare Sdn Bhd [Farmasi DY Healthcare Sdn Bhd],"596G,Jalan Jelutong,11600,Georgetown,Timur Laut,Pulau Pinang",3/12/2020,1/1/2021,31/12/2021,,Borong & Runcit
285,PA0285/2021,23377,NG JING-XIN,WATSON'S PERSONAL CARE STORES SDN BHD,"G47,GF, AEON MALL BUKIT MERTAJAM,Jalan Rozhan, Alma,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang",3/12/2020,1/1/2021,31/12/2021,,Runcit
286,PA0286/2021,23378,TAN HUI MIN,City Healthcare Pharmacy (Air Itam) Sdn Bhd [City Healthcare Pharmacy],"606-A,Jalan Paya Terubong,11500,Air Itam,Timur Laut,Pulau Pinang",3/12/2020,1/1/2021,31/12/2021,,Runcit
287,PA0287/2021,23379,LIM KOON KEAT,City Healthcare Pharmacy (Farlim) Sdn. Bhd. [City Healthcare Pharmacy],"32A,Lintang Angsana,11600,Farlim,Timur Laut,Pulau Pinang",3/12/2020,1/1/2021,31/12/2021,,Runcit
288,PA0288/2021,23380,TAN MUI JOO,Guardian Health & Beauty Sdn Bhd [GUARDIAN],"170-B1-39,Gurney Plaza, Persiaran Gurney,10250,Georgetown,Timur Laut,Pulau Pinang",3/12/2020,1/1/2021,31/12/2021,22/02/2021,Runcit
289,PA0289/2021,23381,TAN PENG LAM,Good Neighbour Pharmacy [Farmasi Good Neighbour],"5006,Jalan New Ferry,12100,Butterworth,Seberang Perai Utara,Pulau Pinang",3/12/2020,1/1/2021,31/12/2021,,Runcit
290,PA0290/2021,23382,BRIAN TAN PENG HAN,PURE PHARMACY SDN BHD,"Lot 1-04 & 1-10, Ground Floor, Wisma Central, No.41,Jalan Macalister,10400,Georgetown,Timur Laut,Pulau Pinang",7/12/2020,1/1/2021,31/12/2021,,Runcit
291,PA0291/2021,23383,SANGIDAA D/O RAMAN,Howe Cheang Medical Supply Sdn.Bhd. [Farmasi Howe Cheang Medical Supply Sdn.Bhd.],"454,Jalan Penang,10000,Georgetown,Timur Laut,Pulau Pinang",7/12/2020,1/1/2021,31/12/2021,,Runcit
292,PA0292/2021,23384,LOH YEE CING,CITY HEALTHCARE PHARMACY (TG. TOKONG) SDN BHD,"50F-1,Jalan Fettes, Tanjung Tokong,11200,Tanjong Bungah,Timur Laut,Pulau Pinang",7/12/2020,1/1/2021,31/12/2021,,Runcit
293,PA0293/2021,23385,TEH SHIN HOOI,Loh Guan Lye and Sons Sdn Bhd [Loh Guan Lye Specialists Centre],"19 & 21,Jalan Logan,10400,Georgetown,Timur Laut,Pulau Pinang",7/12/2020,1/1/2021,31/12/2021,,Runcit
294,PA0294/2021,23386,AMIRUDDIN BIN MOHAMED ISA,Pharmaniaga Logistics Sdn Bhd [Pharmaniaga Logistics Sdn Bhd],"1,3 & 5,Lorong IKS Juru 8, Taman Perindustrian Ringan Juru,14100,Simpang Ampat,Seberang Perai Selatan,Pulau Pinang",7/12/2020,1/1/2021,31/12/2021,,Borong
295,PA0295/2021,23387,JOANNE LIM PHAIK KIT,Adventist Hospital & Clinic Services (M) [Penang Adventist Hospital],"465,Jalan Burma,10350,Georgetown,Timur Laut,Pulau Pinang",7/12/2020,1/1/2021,31/12/2021,,Runcit
296,PA0296/2021,23388,LEE WEI WEI,VCARE PHARMACY,"6926 GF & 6926 1st Floor,Jalan Ong Yi How,13400,Butterworth,Seberang Perai Utara,Pulau Pinang",7/12/2020,1/1/2021,31/12/2021,,Runcit
297,PA0297/2021,23389,NG AH HOO,Farmasi Ara Jaya [Farmasi Ara Jaya],"268-G,Jalan Dato Ismail Hashim,11900,Bayan Lepas,Barat Daya,Pulau Pinang",7/12/2020,1/1/2021,31/12/2021,,Runcit
298,PA0298/2021,23390,CHEW YI JEAN,NUTRICIENT RX SDN BHD [GEORGETOWN PHARMACY ],"1,Jalan Ong Yi How,13400,Butterworth,Seberang Perai Utara,Pulau Pinang",7/12/2020,1/1/2021,31/12/2021,,Runcit
299,PA0299/2021,23391,ANDREW CHAN SZE CHUNG,Pai Wang Pharmacy Sdn Bhd [Farmasi Pai Wang],"1206,Jalan Besar Sungai Bakap,14200,Sungai Jawi,Seberang Perai Selatan,Pulau Pinang",7/12/2020,1/1/2021,31/12/2021,,Runcit
300,PA0300/2021,23392,KHAW CHIA PHING,Adventist Hospital & Clinic Services (M) [Penang Adventist Hospital],"465,Jalan Burma,10350,Georgetown,Timur Laut,Pulau Pinang",7/12/2020,1/1/2021,31/12/2021,,Runcit
301,PA0301/2021,23393,HUNG YUK MUN,De Care Pharmacy [Farmasi De Care Pharmacy],"85-G-18,Jalan Sungai Dua,11700,Gelugor,Timur Laut,Pulau Pinang",7/12/2020,1/1/2021,31/12/2021,,Runcit
302,PA0302/2021,23394,CHEW NING,Pure Pharmacy,"29-1-7,,Jalan Paya Terubong,11900,Bayan Lepas,Barat Daya,Pulau Pinang",7/12/2020,1/1/2021,31/12/2021,,Runcit
