il.,No. Daftar,No. Lesen,Nama Pemegang Lesen,Nama Premis,Alamat Premis,Tarikh Lesen Dikeluarkan,Tarikh Kuatkuasa Lesen,Tarikh Luput Lesen,Tarikh Pembatalan lesen,Jenis Perniagaan
3728,MA0145/2021,26445,CHOONG FUI KIUN,MELAKA STRAITS MEDICAL CENTRE SDN BHD,"Oriental Melaka Straits Medical Centre,Pusat Perubatan Klebang,75200,Melaka,Melaka Tengah,Melaka",24/12/2020,1/1/2021,31/12/2021,,Borong & Runcit
3729,MA0146/2021,26446,LIM LI MIN,MELAKA STRAITS MEDICAL CENTRE SDN BHD,"Oriental Melaka Straits Medical Centre,Pusat Perubatan Klebang,75200,Melaka,Melaka Tengah,Melaka",24/12/2020,1/1/2021,31/12/2021,,Borong & Runcit
3730,MA0147/2021,26447,HASHIMAH BINTI AHMAD NAZLI,FARMASI DAMA SDN BHD,"AG 8559, Wisma Haji Sulong Siban,Jalan Besar,78300,Masjid Tanah,Alor Gajah,Melaka",24/12/2020,1/1/2021,31/12/2021,,Runcit
3731,MA0148/2021,26448,TAN SWEE YIN,Laksamana Pharmacy Sdn Bhd [Farmasi Laksamana],"53,Jalan KL 3/8, Taman Kota Laksamana Seksyen 3,75200,Melaka,Melaka Tengah,Melaka",29/12/2020,1/1/2021,31/12/2021,,Runcit
3732,MA0149/2021,26449,NURUL AFIQAH BINTI MOHD RASHID,XEPA-SOUL PATTINSON (M) SDN BHD,"1-5,Kawasan Perindustrian Cheng,75250,Melaka,Melaka Tengah,Melaka",29/12/2020,1/1/2021,31/12/2021,4/5/2021,Borong
3733,MA0150/2021,26450,TEE LUI SHI,Health Lane Family Pharmacy Sdn. Bhd.,"No. 540 F, Ground Floor,Taman Abu Bakar, Ujong Pasir,75050,Melaka,Melaka Tengah,Melaka",29/12/2020,1/1/2021,31/12/2021,,Runcit
3734,MA0151/2021,26451,SARAH BINTI JALALLUDIN,All Day Pharmacy Sdn Bhd,"J 2346 (GF), Jalan Jasin Bandar Merlimau,Bandar Merlimau,77300,Merlimau,Jasin,Melaka",29/12/2020,1/1/2021,31/12/2021,,Runcit
3735,MA0152/2021,26452,WONG FOOT PIN,CP CENTERCARE PHARMACY SDN BHD,"53,Jalan Bendahara,75100,Melaka,Melaka Tengah,Melaka",29/12/2020,1/1/2021,31/12/2021,,Borong & Runcit
3736,MA0153/2021,26453,ROHANI BINTI MATNOR,FARMASI GEMILANG,"No 60,,Jalan Orkid 1, Taman Paya Rumput Perdana,,76450,Paya Rumput,Melaka Tengah,Melaka",29/12/2020,1/1/2021,31/12/2021,,Runcit
3737,MA0154/2021,26454,MUHAMMAD ARTIF BIN RADUAN,RENONGPHARMA CONSULTANCY [FARMASI IHSAN],"JC 3478,Jalan Besar, Pekan Selandar,77500,Selandar,Jasin,Melaka",29/12/2020,1/1/2021,31/12/2021,,Runcit
3738,MA0155/2021,26455,SHEIKH BURHANUDDIN BIN SHEIKH ALI,Ali Healthcare [Farmasi Ali],"G3,Jalan Kerambit 3, Bandar Baru Sg. Udang,76300,Melaka,Melaka Tengah,Melaka",30/12/2020,1/1/2021,31/12/2021,,Runcit
3739,MA0156/2021,26456,GOH ZHI KIONG,Sevens Care Sdn. Bhd. [Sevens Care Pharmacy],"Ground Floor A2, Jalan Pusat Komersial Cendana 2,Pusat Komersial Cendana, Mukim Bukit Baru,75450,Ayer Keroh,Melaka Tengah,Melaka",30/12/2020,1/1/2021,31/12/2021,1/6/2021,Borong & Runcit
3740,MA0157/2021,26457,AKMAL `AIZAT BIN AHMAD SUANDI,RAYHAN HEALTHCARE [FARMASI RAYHAN],"GF KM40-1,Jalan Perniagaan Jelatang, Pusat Perniagaan Jelatang,78000,Alor Gajah,Alor Gajah,Melaka",4/1/2021,4/1/2021,31/12/2021,,Runcit
3741,MA0158/2021,26458,PAW FOOK SENG,Caring Pharmacy Sdn. Bhd.,"G 49, G Floor, Mahkota Parade, No. 1,Jalan Merdeka,75000,Melaka,Melaka Tengah,Melaka",6/1/2021,8/1/2021,31/12/2021,,Runcit
3742,MA0159/2021,26459,TAN KANG WEI,ALLDAY PHARMACY SDN BHD,"No. 35,Jalan Inang 3, Taman Paya Rumput Utama,76450,Melaka,Melaka Tengah,Melaka",11/1/2021,11/1/2021,31/12/2021,,Runcit
3743,MA0160/2021,26460,MUHAMMAD FITRI BIN BIS TAMAM,FARMASI DUYONG SDN BHD,"NO 32,Jalan TDB 6, Taman Duyong Bestari,75460,Melaka,Melaka Tengah,Melaka",13/01/2021,13/01/2021,31/12/2021,,Runcit
3744,MA0161/2021,26461,NG CHOW KYN,MELAKA STRAITS MEDICAL CENTRE SDN BHD,"Oriental Melaka Straits Medical Centre,Pusat Perubatan Klebang,75200,Melaka,Melaka Tengah,Melaka",13/01/2021,13/01/2021,31/12/2021,1/6/2021,Borong & Runcit
3745,MA0162/2021,26462,TENGKU NABILAH SURAYA BINTI TENGKU HASBULLAH,ALL DAY PHARMACY SDN. BHD.,"JA 1792 (GF),Pusat Bandar Jasin,77000,Jasin,Jasin,Melaka",20/01/2021,20/01/2021,31/12/2021,,Runcit
3746,MA0163/2021,26463,JOTHI A/P SILVAKUMAR,EZ CARE PHARMACY SDN. BHD.,"G-4, TINGKAT BAWAH, BLOCK MAWAR 3,Jalan Murni 2, Taman Malim Jaya,75250,Melaka,Melaka Tengah,Melaka",29/01/2021,29/01/2021,31/12/2021,,Runcit
3747,MA0164/2021,26464,NADIA AMIRAH BINTI ZAKARIA,ALL DAY PHARMACY SDN BHD,"LOT G04 & G05, Mydin Mall,Jalan Komersial, Mitc Hang Tuah Jaya,75450,Ayer Keroh,Melaka Tengah,Melaka",1/2/2021,1/2/2021,31/12/2021,1/7/2021,Runcit
3748,MA0165/2021,26465,NORNABILAH BINTI NOR AZMAN,FARMASI DUYONG SDN BHD,"NO 32,Jalan TDB 6, Taman Duyong Bestari,75460,Melaka,Melaka Tengah,Melaka",1/2/2021,8/2/2021,31/12/2021,,Borong & Runcit
3749,MA0166/2021,26466,NUR AIN NAJIHAH BINTI MOHD IDERIS,FARMASI JASIN [FARMASI PERDANA],"NO 3047,Jalan Besar,78000,Alor Gajah,Alor Gajah,Melaka",3/2/2021,3/2/2021,31/12/2021,,Runcit
3750,MA0167/2021,26467,YAU XIN YI,HEALTH LANE FAMILY PHARMACY SDN. BHD.,"No. 20,Jalan Nirwana 2, Taman Nirwarna, Batang Tiga, Klebang, Tanjong Kling,76400,Melaka,Melaka Tengah,Melaka",9/2/2021,9/2/2021,31/12/2021,,Runcit
3751,MA0168/2021,26468,DHRUNISA A/P GIRISH KUMAR,GDNJ CARE ENTERPRISE [1 CARE FARMASI],"SP 25, SP 25-1,Jalan Sungai Petai 2 Utama, Taman Sungai Petai Permai Fasa 2,78000,Alor Gajah,Alor Gajah,Melaka",18/02/2021,18/02/2021,31/12/2021,,Runcit
3752,MA0169/2021,26469,LIM CHUN YIAN,ALPRO ALLIANCE SDN BHD [FARMASI ALPRO],"No. G5, Block Orkid 3,,Jalan Murni 2, Taman Malim Jaya,75250,Melaka,Melaka Tengah,Melaka",24/02/2021,28/02/2021,31/12/2021,31/05/2021,Runcit
3753,MA0170/2021,26470,LOW CHENG YUEN,VIVA CARE PHARMACY (CHENG) SDN. BHD. [VIVA CARE PHARMACY],"NO.5,Jalan Inang 3, Taman Paya Rumput Utama,76450,Cheng,Melaka Tengah,Melaka",24/02/2021,24/02/2021,31/12/2021,,Borong & Runcit
3754,MA0171/2021,26474,NURDIYANA BINTI YUSOF,ALL DAY PHARMACY SDN. BHD.,"18,Jalan TDB 5, Taman Duyong Bestari,75460,Melaka,Melaka Tengah,Melaka",2/3/2021,2/3/2021,31/12/2021,,Runcit
3755,MA0172/2021,26472,NORFARAHIN BINTI NORHISAM,ALL DAY PHARMACY SDN. BHD.,"MT 667,Pekan Baru,78300,Masjid Tanah,Alor Gajah,Melaka",4/3/2021,4/3/2021,31/12/2021,,Runcit
3756,MA0173/2021,26473,MORITA BINTI MUHAMAD,Farmasi Pertam Jaya [Farmasi Baru],"No. 15, Jalan PNBBU 4,Pusat Niaga Bukit Baru Utama, Bukit Baru,75150,Melaka,Melaka Tengah,Melaka",4/3/2021,4/3/2021,31/12/2021,15/07/2021,Runcit
3757,MA0174/2021,26475,TAM PUI TENG,ALL DAY PHARMACY SDN BHD,"34,Jalan MJ1, Taman Merdeka Jaya,75350,Batu Berendam,Melaka Tengah,Melaka",9/3/2021,9/3/2021,31/12/2021,9/8/2021,Runcit
3758,MA0175/2021,26476,NURFASEHA BINTI AHMAD ALI,ALL DAY PHARMACY SDN. BHD.,"NO. 8,Jalan Kerambit 1, Bandar Baru Sungai Udang,76300,Melaka,Melaka Tengah,Melaka",16/03/2021,19/03/2021,31/12/2021,8/6/2021,Runcit
3759,MA0176/2021,26477,RAHTHIKA DEVI A/P UMATHAVAN,STRAITS PHARMACY SDN. BHD. [Farmasi Straits],"No 40,Jalan TMS 8, Taman Tanjung Minyak Setia,75260,Melaka,Melaka Tengah,Melaka",30/03/2021,30/03/2021,31/12/2021,,Runcit
3760,MA0177/2021,26478,GREGORY ONG CHIN LIEW,ESP LIFE HEALTHCARE SDN BHD [ESP LIFE PHARMACY],"758-A,Jalan Berlian, Taman Kerjasama, Bukit Beruang,75450,Melaka,Melaka Tengah,Melaka",31/03/2021,31/03/2021,31/12/2021,,Runcit
3761,MA0178/2021,26479,JUNICIA LIM SHER YING,HEALTH LANE FAMILY PHARMACY SDN. BHD.,"756L,Jalan Emas, Taman Kerjasama, Bukit Beruang, Mukim Bukit Baru,75450,Melaka,Melaka Tengah,Melaka",31/03/2021,31/03/2021,31/12/2021,,Runcit
3762,MA0179/2021,26480,VANESSA YEOW MAY YIN,Watson's Personal Care Stores Sdn. Bhd. [Watsons],"G-74 , Mahkota Parade,Jalan Taman,75000,Melaka,Melaka Tengah,Melaka",6/4/2021,9/4/2021,31/12/2021,,Runcit
3763,MA0180/2021,26481,AZWATUUL MURNI BINTI RAHIM,Farmasi Pertam Jaya [Farmasi Baru],"No. 15, Jalan PNBBU 4,Pusat Niaga Bukit Baru Utama, Bukit Baru,75150,Melaka,Melaka Tengah,Melaka",12/4/2021,12/4/2021,31/12/2021,,Runcit
3764,MA0181/2021,26482,AMEERAH BINTI BUDIONO,YASIR WELLNESS [FARMASI NOH],"ST 2081,Jalan Bidara Permai 1, Taman Bidara Permai 1,78300,Masjid Tanah,Alor Gajah,Melaka",16/04/2021,16/04/2021,31/12/2021,,Runcit
3765,MA0182/2021,26483,ARIFF DANIAL BIN AZRIN,FARMASI MURNI MARKETING SDN. BHD [FARMASI MURNI],"JA9938 (TINGKAT BAWAH), Bandar Jasin 3,Bandar Baru Jasin III,77000,Jasin,Jasin,Melaka",20/04/2021,20/04/2021,31/12/2021,,Runcit
3766,MA0183/2021,26486,KOH SHI YING,Pink Pharmacy Sdn. Bhd. [Farmasi Pink],"No. 43,Jalan Pj 1, Taman Pertam Jaya,75050,Melaka,Melaka Tengah,Melaka",20/04/2021,20/04/2021,31/12/2021,,Runcit
3767,MA0184/2021,26485,TEY YING YING,ALPRO ALLIANCE SDN. BHD. [FARMASI ALPRO],"No 2874,Jalan Besar Masjid Tanah,78300,Masjid Tanah,Alor Gajah,Melaka",20/04/2021,21/04/2021,31/12/2021,,Runcit
3768,MA0185/2021,26487,MUHAMMAD HAIDAR BIN ADNAN,ALL DAY PHARMACY SDN BHD,"No. 8, Ground Floor,Jalan Lesung Batu Jaya Utama, Taman Lesung Batu Jaya,78000,Alor Gajah,Alor Gajah,Melaka",22/04/2021,22/04/2021,31/12/2021,28/07/2021,Runcit
3769,MA0186/2021,26488,MUHAMMAD ZAIM BIN MD SAAD,FARMASI ONE MEDIC SDN. BHD.,"31,Jalan Bukit Beruang Utama 2, Taman Bukit Beruang Utama,75450,Bukit Beruang,Melaka Tengah,Melaka",22/04/2021,22/04/2021,31/12/2021,18/06/2021,Borong & Runcit
3770,MA0187/2021,26489,CHE ABDUL AZIZ BIN YUSOFF,BDB PHARMACY,"NO 82,Jalan Mutiara Melaka 2, Taman Mutiara Melaka,75350,Batu Berendam,Melaka Tengah,Melaka",26/04/2021,26/04/2021,31/12/2021,,Runcit
3771,MA0188/2021,26490,CHONG JUE XIN,HEALTH LANE FAMILY PHARMACY SDN. BHD.,"SU 1439,Jalan Masjid Tanah Ria Utama, Taman Masjid Tanah Ria Utama,78300,Masjid Tanah,Alor Gajah,Melaka",3/5/2021,3/5/2021,31/12/2021,,Runcit
3772,MA0189/2021,26491,LUI XIAO WEN,HEALTH LANE FAMILY PHARMACY SDN. BHD.,"NO 8671 (G/F),Pusat Perniagaan PKNM,78000,Alor Gajah,Alor Gajah,Melaka",11/5/2021,11/5/2021,31/12/2021,,Runcit
3773,MA0190/2021,26492,MAISARAH BINTI ABDULLAH,ALL DAY PHARMACY SDN. BHD.,"NO. 8,Jalan Kerambit 1, Bandar Baru Sungai Udang,76300,Melaka,Melaka Tengah,Melaka",11/5/2021,11/5/2021,31/12/2021,,Runcit
3774,MA0191/2021,26493,RANDY NG KAI SHENG,RJ DRUGSTORE SDN. BHD. [DZPLUS PHARMACY],"48, Jalan Bertam Perdana,Taman Bertam Perdana,75260,Melaka,Melaka Tengah,Melaka",17/05/2021,17/05/2021,31/12/2021,,Runcit
3775,MA0192/2021,26494,LAI MIN YI,HEALTH LANE FAMILY PHARMACY SDN. BHD.,"42,Jalan Jasa Merdeka 2, Taman Datuk Tamby Chik, Mukim Batu Berendam,75350,Batu Berendam,Melaka Tengah,Melaka",17/05/2021,17/05/2021,31/12/2021,,Runcit
3776,MA0193/2021,26495,LIM KWANG LONG,MACRO HEALTHCARE SDN BHD,"71-D, Ground Floor, Pangsapuri Pasir Emas,Ujong Pasir,75050,Melaka,Melaka Tengah,Melaka",27/05/2021,27/05/2021,31/12/2021,,Borong & Runcit
3777,MA0194/2021,26496,MUHAMMAD SHAZERIN BIN KAMARUDIN,Sevens Care Sdn. Bhd. [Sevens Care Pharmacy],"Ground Floor A2, Jalan Pusat Komersial Cendana 2,Pusat Komersial Cendana, Mukim Bukit Baru,75450,Ayer Keroh,Melaka Tengah,Melaka",28/05/2021,28/05/2021,31/12/2021,,Borong & Runcit
3778,MA0195/2021,26497,BOB ISKANDAR BIN KADIR,RENONGPHARMA CONSULTANCY [FARMASI RENONGPHARMA],"DT 1,Jalan Pusat Perniagaan Durian Tunggal 1, Pusat Perniagaan Durian Tunggal,76100,Durian Tunggal,Alor Gajah,Melaka",8/6/2021,8/6/2021,31/12/2021,,Runcit
3779,MA0196/2021,26498,VANESSA A/P PETER CANISIUS CHARLES,ALL DAY PHARMACY SDN. BHD.,"756-C,Jalan Emas, Taman Kerjasama, Bukit Beruang, Mukim Bukit Baru,75450,Melaka,Melaka Tengah,Melaka",16/06/2021,16/06/2021,31/12/2021,,Runcit
3780,MA0197/2021,26499,WONG SIEW PIIN,ALPRO ALLIANCE SDN. BHD. [FARMASI ALPRO],"NO. 61,Jalan RU 7, Taman Rambai Utama, Bukit Rambai,75260,Melaka,Melaka Tengah,Melaka",22/06/2021,22/06/2021,31/12/2021,,Runcit
3781,MA0198/2021,26500,SHERMAINE WEE SYIE YIENG,ALPRO ALLIANCE SDN. BHD. [FARMASI ALPRO],"KM 13-1,Jalan Perniagaan Jelatang 1, Pusat Perniagaan Jelatang,78000,Alor Gajah,Alor Gajah,Melaka",22/06/2021,22/06/2021,31/12/2021,,Runcit
3782,MA0199/2021,26501,NATASHA THAKER,GUARDIAN HEALTH AND BEAUTY SDN BHD,"Lot G-08, Mahkota Parade,Jalan Taman,75000,Melaka,Melaka Tengah,Melaka",22/06/2021,23/06/2021,31/12/2021,,Runcit
3783,MA0200/2021,26502,NOR INTAN JULAIHA BINTI JAAFFAR,ALL DAY PHARMACY SDN BHD,"No. 8, Ground Floor,Jalan Lesung Batu Jaya Utama, Taman Lesung Batu Jaya,78000,Alor Gajah,Alor Gajah,Melaka",28/06/2021,29/06/2021,31/12/2021,,Runcit
3784,MA0201/2021,26503,AWANIS BINTI AZMI,WARNA WELLNESS ENTERPRISE [FARMASI WARNA],"No. 28,Jalan Kejora 2A, Taman Perindustrian Tanjong Minyak Perdana,75260,Melaka,Melaka Tengah,Melaka",1/7/2021,1/7/2021,31/12/2021,,Runcit
3785,MA0202/2021,26504,NURFASEHA BINTI AHMAD ALI,FARMASI ONE MEDIC SDN. BHD.,"31,Jalan Bukit Beruang Utama 2, Taman Bukit Beruang Utama,75450,Bukit Beruang,Melaka Tengah,Melaka",1/7/2021,1/7/2021,31/12/2021,,Borong & Runcit
3786,MA0203/2021,26505,NADIA AMIRAH BINTI ZAKARIA,ALL DAY PHARMACY SDN BHD,"34,Jalan MJ1, Taman Merdeka Jaya,75350,Batu Berendam,Melaka Tengah,Melaka",7/7/2021,8/7/2021,31/12/2021,,Runcit
3787,MA0204/2021,26506,GINA NGOOI SHI MIN,HEALTH LANE FAMILY PHARMACY SDN BHD,"no. 9,Jalan KJ 1, Taman Krubong Jaya,75250,Melaka,Melaka Tengah,Melaka",28/07/2021,28/07/2021,31/12/2021,,Runcit
3788,MA0205/2021,26507,KOH ZI HONG,HEALTH LANE FAMILY PHARMACY SDN. BHD.,"Lot No. L1.M001 & L1. M002, Pasaraya KIP Mart,Hang Tuah Jaya, Jalan Tun Fatimah, Mukim Bachang,75250,Melaka Tengah,Melaka Tengah,Melaka",29/07/2021,2/8/2021,31/12/2021,,Runcit
3789,MA0206/2021,26508,MUHAMMAD HAIDAR BIN ADNAN,ALL DAY PHARMACY SDN. BHD.,"NO. 8,Jalan Kerambit 1, Bandar Baru Sungai Udang,76300,Melaka,Melaka Tengah,Melaka",2/8/2021,5/8/2021,31/12/2021,,Runcit
3790,MA0207/2021,26509,NUR FADHLIN BINTI BAKHTIAR,ALL DAY PHARMACY SDN BHD,"1B,Jalan STM 1, Taman Seri Tanjung Minyak,75250,Melaka,Melaka Tengah,Melaka",2/8/2021,2/8/2021,31/12/2021,,Runcit
3791,MA0208/2021,26510,SHUHADAH BINTI JOHARI,All Day Pharmacy Sdn. Bhd.,"Ground Floor No. 5,Jalan Rahmat 2, Taman Malim Jaya,75250,Melaka,Melaka Tengah,Melaka",4/8/2021,5/8/2021,31/12/2021,,Runcit
3792,MA0209/2021,26511,YONG GEOK MAY,Health Lane Family Pharmacy Sdn. Bhd.,"No. 540 F, Ground Floor,Taman Abu Bakar, Ujong Pasir,75050,Melaka,Melaka Tengah,Melaka",4/8/2021,7/8/2021,31/12/2021,,Runcit
3793,MA0210/2021,26512,LEE CHARN YEE,Oralix Sdn Bhd,"No 1-1,Jalan PPPS 2, Pusat Perniagaan Putra Sentosa, Mukim Bukit Baru,75150,Melaka,Melaka Tengah,Melaka",4/8/2021,4/8/2021,31/12/2021,,Borong
3794,MA0211/2021,26513,CHUA JIA YUNN,CARING PHARMACY SDN BHD,"No. 756-A,Jalan Emas 9, Taman Kerjasama, Bukit Beruang, Mukim Bukit Baru,75450,Melaka,Melaka Tengah,Melaka",4/8/2021,6/8/2021,31/12/2021,,Runcit
3795,MA0212/2021,26514,LEE SOCK YIN,CARING PHARMACY SDN BHD,"No. 756-A,Jalan Emas 9, Taman Kerjasama, Bukit Beruang, Mukim Bukit Baru,75450,Melaka,Melaka Tengah,Melaka",6/8/2021,10/8/2021,31/12/2021,,Runcit
3796,MA0213/2021,26515,CHOO JIAN HWA,ALPRO ALLIANCE SDN BHD [FARMASI ALPRO],"No. G5, Block Orkid 3,,Jalan Murni 2, Taman Malim Jaya,75250,Melaka,Melaka Tengah,Melaka",6/8/2021,8/8/2021,31/12/2021,,Runcit
3797,NA0001/2021,22185,SIEW SHEH LEE,COZY PHARMACY,"No 335,Jalan Berlian, Taman Senawang Jaya,70450,Seremban,Seremban,Negeri Sembilan",14/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
3798,NA0002/2021,22186,CHONG TECK KOK,MULTICARE HEALTH PHARMACY SDN. BHD. [MULTICARE PHARMACY],"PT 7432,Jalan Bbn 1/2 F, Putra Nilai,71800,Nilai,Seremban,Negeri Sembilan",14/10/2020,1/1/2021,31/12/2021,,Runcit
3799,NA0003/2021,22188,LEE WON ZEE,MULTICARE HEALTH PHARMACY SDN. BHD. [MULTICARE PHARMACY],"NO. 1969,Jalan Tok Ungku, Taman Bukit Blossom,70100,Seremban,Seremban,Negeri Sembilan",19/10/2020,1/1/2021,31/12/2021,,Runcit
3800,NA0004/2021,22189,SEAH EE CHING,LIFE BIOPHARMA SDN. BHD.,"No.250-251,Jalan Industri Galla 13, Kawasan Industri Galla,70200,Seremban,Seremban,Negeri Sembilan",19/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
3801,NA0005/2021,22190,EE YA LIANG,GUARDIAN HEALTH AND BEAUTY SDN. BHD. [GUARDIAN],"Lot G34,G35,G38 & G39, Giant Superstore Nilai, PT 6367,Jalan Bbn 3/1, Putra Nilai,71800,Nilai,Seremban,Negeri Sembilan",19/10/2020,1/1/2021,31/12/2021,,Runcit
3802,NA0006/2021,22191,FOO JIA HUI,MULTICARE HEALTH PHARMACY SDN. BHD. [MULTICARE PHARMACY],"No 2-G,Jalan RS 1, Rembau Sentral,71309,Rembau,Rembau,Negeri Sembilan",19/10/2020,1/1/2021,31/12/2021,,Runcit
3803,NA0007/2021,22192,ALIAS BIN ABD RASHID,BAHAU PHARMACY SDN. BHD. [CAWANGAN KUALA KLAWANG],"NO 10,Jalan Dato' Abdullah,71600,Kuala Klawang,Jelebu,Negeri Sembilan",19/10/2020,1/1/2021,31/12/2021,,Runcit
3804,NA0008/2021,22193,FAM YI LING,MULTICARE PHARMACY (BAHAU) SDN. BHD. [MULTICARE PHARMACY],"55,Jalan Dato' Jempol,72100,Bahau,Jempol,Negeri Sembilan",19/10/2020,1/1/2021,31/12/2021,,Runcit
3805,NA0009/2021,22194,ROHAYA BINTI KARIM,GUARDIAN HEALTH AND BEAUTY SDN. BHD. [GUARDIAN],"Lot G34,G35,G38 & G39, Giant Superstore Nilai, PT 6367,Jalan Bbn 3/1, Putra Nilai,71800,Nilai,Seremban,Negeri Sembilan",19/10/2020,1/1/2021,31/12/2021,,Runcit
3806,NA0010/2021,22195,DIYANA GAN BINTI ABDUL RAHMAN GAN,RV Medical Speciality Services [Everstrong Pharmacy],"14-G,Jalan Rasah Prima 2, Pusat Komersial Rasah Prima,70300,Seremban,Seremban,Negeri Sembilan",20/10/2020,1/1/2021,31/12/2021,,Runcit
3807,NA0011/2021,22196,ZETI AKHTAR BINTI MOKHTARUDIN,FARMASI MEDIVITA [FARMASI MEDIVITA],"38G,Jalan Taman Komersial Senawang 7, Taman Komersial Senawang,70450,Taman Komersial, Senawang,Seremban,Negeri Sembilan",20/10/2020,1/1/2021,31/12/2021,,Runcit
3808,NA0012/2021,22197,ZAINAL ABIDIN BIN SULAIMAN,FARMASI PILAH SDN. BHD.,"111,Jalan Yam Tuan,72000,Kuala Pilah,Kuala Pilah,Negeri Sembilan",20/10/2020,1/1/2021,31/12/2021,,Runcit
3809,NA0013/2021,22198,YEOH BOON PHENG,FARMASI SIA,"No.10,Jalan S2 G2, Garden Avenue, Seremban 2,70300,Seremban,Seremban,Negeri Sembilan",20/10/2020,1/1/2021,31/12/2021,,Runcit
3810,NA0014/2021,22199,ANG YAN KHER,N.S LABORATORY SDN. BHD.,"No 54,Jalan S2 C2, Green Technology Park, Seremban 2,70300,Seremban,Seremban,Negeri Sembilan",20/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
3811,NA0015/2021,22200,SAROHMENA A/P RAWISANDRAN,ROYCE PHARMA MANUFACTURING SDN. BHD. [ROYCE PHARMA],"PT 1663,Nilai Industrial Estate,71800,Nilai,Seremban,Negeri Sembilan",20/10/2020,1/1/2021,31/12/2021,,Borong
3812,NA0016/2021,22201,TEO YING HUI,ALPRO ALLIANCE SDN. BHD. [FARMASI ALPRO],"NO. 35 & 36,Jalan Dato Bandar Tunggal,70000,Seremban,Seremban,Negeri Sembilan",21/10/2020,1/1/2021,31/12/2021,31/05/2021,Runcit
3813,NA0017/2021,22202,LEE YIN KIM,PETERLABS SDN. BHD.,"16014 (PT No 24341),Jalan Nilam 3, Bandar Nilai Utama,71800,Nilai,Seremban,Negeri Sembilan",21/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
3814,NA0018/2021,22203,YAP CHUI LENG,GUARDIAN HEALTH AND BEAUTY SDN. BHD. [GUARDIAN],"Lot No. 4, Ground Floor, Gerbang Seremban,Jalan Sungai Ujong,70200,Seremban,Seremban,Negeri Sembilan",21/10/2020,1/1/2021,31/12/2021,,Runcit
3815,NA0019/2021,22204,CHANG YANN JIE,ALPRO ALLIANCE SDN. BHD. [FARMASI ALPRO],"130,Jalan Yam Tuan Raden,72000,Kuala Pilah,Kuala Pilah,Negeri Sembilan",21/10/2020,1/1/2021,31/12/2021,,Runcit
3816,NA0020/2021,22206,LIEW JIN SONG,MULTICARE PHARMACY (BAHAU) SDN. BHD. [MULTICARE PHARMACY],"55,Jalan Dato' Jempol,72100,Bahau,Jempol,Negeri Sembilan",23/10/2020,1/1/2021,31/12/2021,,Runcit
3817,NA0021/2021,22238,CHOW KAR YAN,ALPRO ALLIANCE SDN. BHD. [FARMASI ALPRO],"130,Jalan Yam Tuan Raden,72000,Kuala Pilah,Kuala Pilah,Negeri Sembilan",27/10/2020,1/1/2021,31/12/2021,24/03/2021,Runcit
3818,NA0022/2021,22208,LOW HONG THAT @ LOH HONG THAT,OSMOSIS NUTRITION SDN. BHD.,"Lot 16014 (PT No.24341), Jalan Nilam 3,Bandar Nilai Utama,71800,Nilai,Seremban,Negeri Sembilan",27/10/2020,1/1/2021,31/12/2021,,Borong
3819,NA0023/2021,22209,TAN GUAT HUA,ANN-CARE PHARMACY SDN. BHD. [MULTICARE PHARMACY],"381GF,Jalan Tan Sri Manickavasagam (Jalan Lobak),70200,Seremban,Seremban,Negeri Sembilan",27/10/2020,1/1/2021,31/12/2021,,Runcit
3820,NA0024/2021,22210,CHEOK YEE YIN,MULTICARE HEALTH PHARMACY SDN. BHD. [MULTICARE PHARMACY],"SOB-012,Jalan Mahajaya, PD Centre Point,71000,Port Dickson,Port Dickson,Negeri Sembilan",27/10/2020,1/1/2021,31/12/2021,,Runcit
3821,NA0025/2021,22211,CHONG KAR HUA,LIFE (VETERINARY) SDN. BHD.,"No.115 ,Tingkat 1,Taman AST,Jalan Sungai Ujong,70200,Seremban,Seremban,Negeri Sembilan",27/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
3822,NA0026/2021,22212,AMIRUDIN BIN JAMAL,SENAWANG INDAH MEDICAL CENTRE SDN. BHD. [SALAM SENAWANG SPECIALIST HOSPITAL],"No 234-243,Jalan Lavender Heights 2, Lavender Business Square,70450,Seremban,Seremban,Negeri Sembilan",27/10/2020,1/1/2021,31/12/2021,,Runcit
3823,NA0027/2021,22213,ANAS BIN KAMARULZAMAN,MEDIC ALCHEMY SDN BHD,"943,Jalan S2 F23, Garden Homes, Seremban 2,70300,Seremban,Seremban,Negeri Sembilan",27/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
3824,NA0028/2021,22214,GAN CHIN WOON,BETTER U PHARMACY,"LOT 155A,Jalan Yam Tuan,72000,Kuala Pilah,Kuala Pilah,Negeri Sembilan",27/10/2020,1/1/2021,31/12/2021,,Runcit
3825,NA0029/2021,22215,HO TIAN HUI,AV MANUFACTURING SDN. BHD.,"LOT 10621,Jalan Permata 2, Arab Malaysian Industrial Park,71800,Nilai,Seremban,Negeri Sembilan",27/10/2020,1/1/2021,31/12/2021,,Borong
